Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Vendor,Pack Price,Unit Price,Unit of Measure (Per Pack),Shipment Mode,Product Group,Manufacturing Site,Freight Cost (USD)
2-Jun-06,2-Jun-06,2-Jun-06,RANBAXY Fine Chemicals LTD.,29.0,0.97,30,Air,HRDT,Ranbaxy Fine Chemicals LTD,780.34
14-Nov-06,14-Nov-06,14-Nov-06,Aurobindo Pharma Limited,6.2,0.03,240,Air,ARV,"Aurobindo Unit III, India",4521.5
27-Aug-06,27-Aug-06,27-Aug-06,Abbott GmbH & Co. KG,80.0,0.8,100,Air,HRDT,ABBVIE GmbH & Co.KG Wiesbaden,1653.78
1-Sep-06,1-Sep-06,1-Sep-06,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),3.99,0.07,60,Air,ARV,"Ranbaxy, Paonta Shahib, India",16007.06
11-Aug-06,11-Aug-06,11-Aug-06,Aurobindo Pharma Limited,3.2,0.05,60,Air,ARV,"Aurobindo Unit III, India",45450.08
28-Sep-06,28-Sep-06,28-Sep-06,Aurobindo Pharma Limited,5.35,0.02,240,Air,ARV,"Aurobindo Unit III, India",5920.42
8-Jan-07,8-Jan-07,8-Jan-07,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),32.4,0.36,90,Air,ARV,MSD South Granville Australia,Freight Included in Commodity Cost
24-Nov-06,24-Nov-06,24-Nov-06,Aurobindo Pharma Limited,3.65,0.06,60,Air,ARV,"Aurobindo Unit III, India",6212.41
7-Dec-06,7-Dec-06,7-Dec-06,Aurobindo Pharma Limited,1.95,0.03,60,Air,ARV,"Aurobindo Unit III, India",See ASN-93 (ID#:1281)
30-Jan-07,30-Jan-07,30-Jan-07,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),41.1,0.34,120,Air,ARV,ABBVIE (Abbott) St. P'burg USA,Freight Included in Commodity Cost
16-Feb-07,16-Feb-07,16-Feb-07,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),41.1,0.34,120,Air,ARV,ABBVIE Ludwigshafen Germany,Freight Included in Commodity Cost
8-Jan-07,8-Jan-07,8-Jan-07,"Trinity Biotech, Plc",40.0,2.0,20,Air,HRDT,"Trinity Biotech, Plc",13569.49
10-Jan-07,10-Jan-07,10-Jan-07,EY Laboratories,85.0,0.85,100,Air,HRDT,"EY Laboratories, USA",Invoiced Separately
27-Feb-07,27-Feb-07,27-Feb-07,CIPLA LIMITED,9.98,0.17,60,Air,ARV,"Cipla, Goa, India",64179.42
18-Jan-07,18-Jan-07,18-Jan-07,Abbott GmbH & Co. KG,80.0,0.8,100,Air,HRDT,ABBVIE GmbH & Co.KG Wiesbaden,1760.32
19-Mar-07,19-Mar-07,19-Mar-07,BRISTOL-MYERS SQUIBB,25.5,0.42,60,Air,ARV,"BMS Meymac, France",Freight Included in Commodity Cost
7-May-07,7-May-07,7-May-07,ACCOUN NIGERIA LIMITED,80.0,0.8,100,0,HRDT,ABBVIE GmbH & Co.KG Wiesbaden,Freight Included in Commodity Cost
29-Mar-07,29-Mar-07,29-Mar-07,Premier Medical Corporation Ltd.,16.5,0.55,30,Air,HRDT,Premier Med. Corp Ltd. India,3120.7
6-Jun-07,6-Jun-07,6-Jun-07,BRISTOL-MYERS SQUIBB,12.59,0.06,200,Air,ARV,"BMS Meymac, France",912.96
19-Jun-07,19-Jun-07,19-Jun-07,Abbott GmbH & Co. KG,80.0,0.8,100,Air,HRDT,ABBVIE GmbH & Co.KG Wiesbaden,2682.47
19-Jun-07,19-Jun-07,19-Jun-07,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",27.0,1.35,20,Air,HRDT,Chembio Diagnostics Sys. Inc.,15893.71
2-Oct-07,2-Oct-07,2-Oct-07,BRISTOL-MYERS SQUIBB,25.5,0.42,60,Air,ARV,"BMS Meymac, France",Freight Included in Commodity Cost
15-Oct-07,15-Oct-07,15-Oct-07,Aurobindo Pharma Limited,1.92,0.01,240,Air,ARV,"Aurobindo Unit III, India",4193.49
27-Aug-07,27-Aug-07,27-Aug-07,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),82.19,0.68,120,Air,ARV,ABBVIE Ludwigshafen Germany,1767.38
13-Aug-07,21-Aug-07,21-Aug-07,"Orgenics, Ltd",71.99,0.72,100,Air,HRDT,Inverness Japan,3518.38
25-Aug-07,25-Aug-07,25-Aug-07,Orasure Technologies Inc.,350.0,3.5,100,Air,HRDT,"Pacific Biotech, Thailand",3097.85
16-Oct-07,16-Oct-07,16-Oct-07,"Standard Diagnostics, Inc.",20.0,0.8,25,Air,HRDT,"Standard Diagnostics, Korea",27869.74
22-Nov-07,22-Nov-07,22-Nov-07,"Standard Diagnostics, Inc.",20.0,0.8,25,Air,HRDT,"Standard Diagnostics, Korea",28461.1
22-Nov-07,22-Nov-07,22-Nov-07,"Standard Diagnostics, Inc.",20.0,0.8,25,Air,HRDT,"Standard Diagnostics, Korea",28359.8
20-Nov-07,20-Nov-07,20-Nov-07,Aurobindo Pharma Limited,1.55,0.03,60,Air,ARV,"Aurobindo Unit III, India",12237.61
3-Oct-07,3-Oct-07,3-Oct-07,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",27.0,1.35,20,Air,HRDT,Chembio Diagnostics Sys. Inc.,20885.78
